emoji,en,clean_en,zh-TW
2️⃣,:keycap_2:,keycap 2,鍵帽2
2⃣,:keycap_2:,keycap 2,鍵帽2
3️⃣,:keycap_3:,keycap 3,鍵帽3
3⃣,:keycap_3:,keycap 3,鍵帽3
4️⃣,:keycap_4:,keycap 4,鍵帽4
4⃣,:keycap_4:,keycap 4,鍵帽4
5️⃣,:keycap_5:,keycap 5,鍵帽 5
5⃣,:keycap_5:,keycap 5,鍵帽 5
6️⃣,:keycap_6:,keycap 6,鍵帽 6
6⃣,:keycap_6:,keycap 6,鍵帽 6
7️⃣,:keycap_7:,keycap 7,鍵帽 7
7⃣,:keycap_7:,keycap 7,鍵帽 7
8️⃣,:keycap_8:,keycap 8,鍵帽8
8⃣,:keycap_8:,keycap 8,鍵帽8
9️⃣,:keycap_9:,keycap 9,鍵帽 9
👘,:kimono:,kimono,和服
💏,:kiss:,kiss,吻
💋,:kiss_mark:,kiss mark,吻痕
👩‍❤️‍💋‍👨,:kiss_woman_man:,kiss woman man,親吻女人男人
😽,:kissing_cat:,kissing cat,接吻貓
😗,:kissing_face:,kissing face,親臉
😚,:kissing_face_with_closed_eyes:,kissing face with closed eyes,閉著眼睛親吻臉
😙,:kissing_face_with_smiling_eyes:,kissing face with smiling eyes,用微笑的眼睛親吻臉
🔪,:kitchen_knife:,kitchen knife,菜刀
🪁,:kite:,kite,風箏
🥝,:kiwi_fruit:,kiwi fruit,奇異果
🪢,:knot:,knot,結
🐨,:koala:,koala,考拉
🥼,:lab_coat:,lab coat,實驗工作服
🏷️,:label:,label,標籤
🏷,:label:,label,標籤
💻,:laptop:,laptop,筆記本電腦
🔷,:large_blue_diamond:,large blue diamond,大藍鑽
🔶,:large_orange_diamond:,large orange diamond,大橙色鑽石
🌗,:last_quarter_moon:,last quarter moon,上弦月
🍃,:leaf_fluttering_in_wind:,leaf fluttering in wind,葉子在風中飄揚
🥬,:leafy_green:,leafy green,綠葉
📒,:ledger:,ledger,賬本
🤛🏻,:left-facing_fist_light_skin_tone:,left-facing fist light skin tone,朝左的拳頭淺膚色
🤛🏼,:left-facing_fist_medium-light_skin_tone:,left-facing fist medium-light skin tone,左手握拳中淺膚色
⬅️,:left_arrow:,left arrow,左箭頭
🦵,:leg:,leg,腿
🦵🏻,:leg_light_skin_tone:,leg light skin tone,腿部淺膚色
🍋,:lemon:,lemon,檸檬
🐆,:leopard:,leopard,豹
💡,:light_bulb:,light bulb,燈泡
🔗,:link:,link,關聯
🦁,:lion:,lion,獅子
💄,:lipstick:,lipstick,口紅
🦙,:llama:,llama,駱駝
🦞,:lobster:,lobster,龍蝦
🚂,:locomotive:,locomotive,機車
🍭,:lollipop:,lollipop,棒糖
🧴,:lotion_bottle:,lotion bottle,乳液瓶
😭,:loudly_crying_face:,loudly crying face,大聲哭泣的臉
📢,:loudspeaker:,loudspeaker,喇叭
🤟,:love-you_gesture:,love-you gesture,愛你的手勢
🤟🏻,:love-you_gesture_light_skin_tone:,love-you gesture light skin tone,愛你的手勢淺膚色
🤟🏼,:love-you_gesture_medium-light_skin_tone:,love-you gesture medium-light skin tone,愛你的手勢中淺膚色
🤟🏽,:love-you_gesture_medium_skin_tone:,love-you gesture medium skin tone,愛你的手勢中等膚色
💌,:love_letter:,love letter,愛情信
🧳,:luggage:,luggage,行李
🧙🏻,:mage_light_skin_tone:,mage light skin tone,法師淺膚色
🪄,:magic_wand:,magic wand,魔法棒
🔍,:magnifying_glass_tilted_left:,magnifying glass tilted left,放大鏡向左傾斜
🔎,:magnifying_glass_tilted_right:,magnifying glass tilted right,放大鏡向右傾斜
🀄,:mahjong_red_dragon:,mahjong red dragon,麻將紅龍
👨,:man:,man,男人
👨‍🎨,:man_artist:,man artist,男藝術家
👨‍🚀,:man_astronaut:,man astronaut,宇航員
👱‍♂️,:man_blond_hair:,man blond hair,男人金發
🙇‍♂️,:man_bowing:,man bowing,男子鞠躬
🙇🏻‍♂️,:man_bowing_light_skin_tone:,man bowing light skin tone,鞠躬的男人淺膚色
🙇🏼‍♂️,:man_bowing_medium-light_skin_tone:,man bowing medium-light skin tone,鞠躬的男人中淺膚色
🤸‍♂️,:man_cartwheeling:,man cartwheeling,男人側手翻
🤸🏻‍♂️,:man_cartwheeling_light_skin_tone:,man cartwheeling light skin tone,男人側手翻較淺膚色
🧗‍♂️,:man_climbing:,man climbing,男子攀登
👨‍🍳,:man_cook:,man cook,男廚師
🕺,:man_dancing:,man dancing,男人跳舞
🕺🏻,:man_dancing_light_skin_tone:,man dancing light skin tone,跳舞的男人淺膚色
🕺🏼,:man_dancing_medium-light_skin_tone:,man dancing medium-light skin tone,跳舞的男人中淺膚色
👨🏿,:man_dark_skin_tone:,man dark skin tone,男人深色膚色
🤦‍♂️,:man_facepalming:,man facepalming,男人捂臉
🤦🏻‍♂️,:man_facepalming_light_skin_tone:,man facepalming light skin tone,男人捂臉淺膚色
🤦🏼‍♂️,:man_facepalming_medium-light_skin_tone:,man facepalming medium-light skin tone,男人捂臉中淺膚色
🤦🏽‍♂️,:man_facepalming_medium_skin_tone:,man facepalming medium skin tone,男人捂臉中等膚色
🧚🏻‍♂️,:man_fairy_light_skin_tone:,man fairy light skin tone,男仙女淺膚色
🙍‍♂️,:man_frowning:,man frowning,男人皺著眉頭
🙅‍♂️,:man_gesturing_NO:,man gesturing NO,男人打手勢不
🙆‍♂️,:man_gesturing_OK:,man gesturing OK,男人打手勢 OK
🙆🏻‍♂️,:man_gesturing_OK_light_skin_tone:,man gesturing OK light skin tone,男人打手勢 OK 淺膚色
🙆🏽‍♂️,:man_gesturing_OK_medium_skin_tone:,man gesturing OK medium skin tone,男人做 OK 手勢 中等膚色
👨‍⚕️,:man_health_worker:,man health worker,男保健員
🤹‍♂️,:man_juggling:,man juggling,男子雜耍
🏋‍♂️,:man_lifting_weights:,man lifting weights,男子舉重
👨🏻,:man_light_skin_tone:,man light skin tone,男人淺膚色
👨🏻‍🦳,:man_light_skin_tone_white_hair:,man light skin tone white hair,男人淺膚色白頭髮
👨🏻‍✈️,:man_pilot_light_skin_tone:,man pilot light skin tone,男飛行員淺膚色
🙎‍♂️,:man_pouting:,man pouting,噘嘴的男人
🙎🏻‍♂️,:man_pouting_light_skin_tone:,man pouting light skin tone,男人噘嘴 淺膚色
🙎🏼‍♂️,:man_pouting_medium-light_skin_tone:,man pouting medium-light skin tone,噘嘴的男人中淺膚色
🙋‍♂️,:man_raising_hand:,man raising hand,舉手的人
🙋🏿‍♂️,:man_raising_hand_dark_skin_tone:,man raising hand dark skin tone,舉手的男人深色膚色
🙋🏻‍♂️,:man_raising_hand_light_skin_tone:,man raising hand light skin tone,舉手的男人淺膚色
🏃‍♂️,:man_running:,man running,跑步的人
🏃🏻‍♂️,:man_running_light_skin_tone:,man running light skin tone,跑步的男人淺膚色
👨🏻‍🔬,:man_scientist_light_skin_tone:,man scientist light skin tone,男科學家淺膚色
🤷‍♂️,:man_shrugging:,man shrugging,男人聳肩
🤷🏻‍♂️,:man_shrugging_light_skin_tone:,man shrugging light skin tone,男人聳肩淺膚色
🤷🏽‍♂️,:man_shrugging_medium_skin_tone:,man shrugging medium skin tone,男人聳肩中等膚色
🧍🏼‍♂️,:man_standing_medium-light_skin_tone:,man standing medium-light skin tone,站著的男人中淺膚色
💁🏻‍♂️,:man_tipping_hand_light_skin_tone:,man tipping hand light skin tone,男人傾斜手淺膚色
🚶🏻‍♂️,:man_walking_light_skin_tone:,man walking light skin tone,走路的男人淺膚色
👨‍🦳,:man_white_hair:,man white hair,男人白頭髮
🧟‍♂,:man_zombie:,man zombie,人殭屍
🥭,:mango:,mango,芒果
🕰,:mantelpiece_clock:,mantelpiece clock,壁爐鐘
🍁,:maple_leaf:,maple leaf,楓葉
🥋,:martial_arts_uniform:,martial arts uniform,武術服
🍖,:meat_on_bone:,meat on bone,骨頭上的肉
🦾,:mechanical_arm:,mechanical arm,機械臂
🦿,:mechanical_leg:,mechanical leg,機械腿
🏼,:medium-light_skin_tone:,medium-light skin tone,中淺膚色
📣,:megaphone:,megaphone,擴音器
🍈,:melon:,melon,瓜
🫠,:melting_face:,melting face,融化的臉
📝,:memo:,memo,備忘錄
👬,:men_holding_hands:,men holding hands,手牽著手的男人
👬🏻,:men_holding_hands_light_skin_tone:,men holding hands light skin tone,手拉手的男士淺膚色
👯‍♂️,:men_with_bunny_ears:,men with bunny ears,兔子耳朵的男人
🚹,:men’s_room:,men’s room,男廁所
🧜‍♀️,:mermaid:,mermaid,美人魚
🧜🏻‍♀️,:mermaid_light_skin_tone:,mermaid light skin tone,美人魚淺膚色
🧜🏼‍♀️,:mermaid_medium-light_skin_tone:,mermaid medium-light skin tone,美人魚中淺膚色
🧜‍♂️,:merman:,merman,人魚
🚇,:metro:,metro,地鐵
🦠,:microbe:,microbe,微生物
🎤,:microphone:,microphone,麥克風
🪖,:military_helmet:,military helmet,軍用頭盔
🌌,:milky_way:,milky way,銀河系
➖,:minus:,minus,減
🪞,:mirror:,mirror,鏡子
🗿,:moai:,moai,摩艾
📱,:mobile_phone:,mobile phone,手機
📴,:mobile_phone_off:,mobile phone off,手機關機
🤑,:money-mouth_face:,money-mouth face,錢嘴臉
💰,:money_bag:,money bag,錢袋子
💸,:money_with_wings:,money with wings,帶翅膀的錢
🐒,:monkey:,monkey,猴
🛥,:motor_boat:,motor boat,摩托艇
🛵,:motor_scooter:,motor scooter,小型摩托車
🏍️,:motorcycle:,motorcycle,摩托車
🏍,:motorcycle:,motorcycle,摩托車
🗻,:mount_fuji:,mount fuji,富士山
⛰️,:mountain:,mountain,山
⛰,:mountain:,mountain,山
🐭,:mouse_face:,mouse face,老鼠臉
👄,:mouth:,mouth,嘴
🎥,:movie_camera:,movie camera,電影攝影機
✖️,:multiply:,multiply,乘
🍄,:mushroom:,mushroom,蘑菇
🎹,:musical_keyboard:,musical keyboard,音樂鍵盤
🎵,:musical_note:,musical note,音符
🎶,:musical_notes:,musical notes,音符
🎼,:musical_score:,musical score,樂譜
🔇,:muted_speaker:,muted speaker,靜音揚聲器
💅,:nail_polish:,nail polish,指甲油
💅🏻,:nail_polish_light_skin_tone:,nail polish light skin tone,指甲油淺膚色
💅🏼,:nail_polish_medium-light_skin_tone:,nail polish medium-light skin tone,指甲油中淺膚色
🏞,:national_park:,national park,國家公園
🤢,:nauseated_face:,nauseated face,噁心的臉
👔,:necktie:,necktie,領帶
🤓,:nerd_face:,nerd face,書呆子臉
😐,:neutral_face:,neutral face,中性臉
🌑,:new_moon:,new moon,新月
🌚,:new_moon_face:,new moon face,新月臉
⏭️,:next_track_button:,next track button,下一首曲目按鈕
⏭,:next_track_button:,next track button,下一首曲目按鈕
🌃,:night_with_stars:,night with stars,有星星的夜晚
🕘,:nine_o’clock:,nine o’clock,九點鐘
🥷,:ninja:,ninja,忍者
🥷🏻,:ninja_light_skin_tone:,ninja light skin tone,忍者淺膚色
⛔,:no_entry:,no entry,禁止駛入
🚷,:no_pedestrians:,no pedestrians,行人禁止通行
🚭,:no_smoking:,no smoking,禁止抽煙
👃,:nose:,nose,鼻子
👃🏻,:nose_light_skin_tone:,nose light skin tone,鼻子淺膚色
📓,:notebook:,notebook,筆記本
📔,:notebook_with_decorative_cover:,notebook with decorative cover,帶裝飾封面的筆記本
🐙,:octopus:,octopus,章魚
🍢,:oden:,oden,關東煮
👹,:ogre:,ogre,食人魔
👴🏾,:old_man_medium-dark_skin_tone:,old man medium-dark skin tone,老人中黑膚色
👴🏼,:old_man_medium-light_skin_tone:,old man medium-light skin tone,老人中淺膚色
👵,:old_woman:,old woman,老太婆
👵🏻,:old_woman_light_skin_tone:,old woman light skin tone,老女人淺膚色
🚘,:oncoming_automobile:,oncoming automobile,迎面而來的汽車
👊,:oncoming_fist:,oncoming fist,迎面而來的拳頭
👊🏻,:oncoming_fist_light_skin_tone:,oncoming fist light skin tone,迎面而來的拳頭淺膚色
🩱,:one-piece_swimsuit:,one-piece swimsuit,連體泳衣
🕐,:one_o’clock:,one o’clock,一點鐘
📖,:open_book:,open book,打開書
📂,:open_file_folder:,open file folder,打開文件夾
👐,:open_hands:,open hands,張開雙手
👐🏿,:open_hands_dark_skin_tone:,open hands dark skin tone,張開雙手 深色膚色
👐🏻,:open_hands_light_skin_tone:,open hands light skin tone,張開雙手淺膚色
📬,:open_mailbox_with_raised_flag:,open mailbox with raised flag,打開帶有升旗的郵箱
🧡,:orange_heart:,orange heart,橙心
🦦,:otter:,otter,獺
🦉,:owl:,owl,貓頭鷹
🐂,:ox:,ox,牛
🦪,:oyster:,oyster,牡蠣
📦,:package:,package,包裹
🖌,:paintbrush:,paintbrush,畫筆
🌴,:palm_tree:,palm tree,棕櫚樹
🫴🏻,:palm_up_hand_light_skin_tone:,palm up hand light skin tone,掌心朝上手較淺膚色
🤲,:palms_up_together:,palms up together,雙手合十
🤲🏻,:palms_up_together_light_skin_tone:,palms up together light skin tone,手心向上 淺膚色
🥞,:pancakes:,pancakes,薄煎餅
🐼,:panda:,panda,熊貓
📎,:paperclip:,paperclip,回形針
🦜,:parrot:,parrot,鸚鵡
🎉,:party_popper:,party popper,禮花
🥳,:partying_face:,partying face,派對臉
🐾,:paw_prints:,paw prints,掌印
🍑,:peach:,peach,桃
🥜,:peanuts:,peanuts,花生
🍐,:pear:,pear,梨
✏️,:pencil:,pencil,鉛筆
✏,:pencil:,pencil,鉛筆
🐧,:penguin:,penguin,企鵝
😔,:pensive_face:,pensive face,沉思的臉
🫂,:people_hugging:,people hugging,人們擁抱
👯,:people_with_bunny_ears:,people with bunny ears,有兔耳朵的人
🤼,:people_wrestling:,people wrestling,人們摔跤
😣,:persevering_face:,persevering face,堅毅的臉
🧑,:person:,person,人
🚴,:person_biking:,person biking,騎自行車的人
🚴🏻,:person_biking_light_skin_tone:,person biking light skin tone,騎自行車的人淺膚色
⛹️,:person_bouncing_ball:,person bouncing ball,人彈跳球
🙇,:person_bowing:,person bowing,鞠躬的人
🙇🏻,:person_bowing_light_skin_tone:,person bowing light skin tone,鞠躬的人淺膚色
🧑🏿‍🦱,:person_dark_skin_tone_curly_hair:,person dark skin tone curly hair,人深色膚色捲髮
🤦,:person_facepalming:,person facepalming,人臉
🧑‍🍼,:person_feeding_baby:,person feeding baby,餵養嬰兒的人
🙅🏻,:person_gesturing_NO_light_skin_tone:,person gesturing NO light skin tone,打手勢的人沒有淺膚色
💆,:person_getting_massage:,person getting massage,正在按摩的人
🧘🏻,:person_in_lotus_position_light_skin_tone:,person in lotus position light skin tone,盤蓮花的人淺膚色
🤵🏻,:person_in_tuxedo_light_skin_tone:,person in tuxedo light skin tone,穿燕尾服的淺膚色人
🤹,:person_juggling:,person juggling,人雜耍
🏋️,:person_lifting_weights:,person lifting weights,舉重的人
🧔🏻,:person_light_skin_tone_beard:,person light skin tone beard,人淺膚色鬍子
👱🏻,:person_light_skin_tone_blond_hair:,person light skin tone blond hair,人淺膚色金發
🧑🏻‍🦱,:person_light_skin_tone_curly_hair:,person light skin tone curly hair,人物淺膚色捲髮
🧑🏼‍🦳,:person_medium-light_skin_tone_white_hair:,person medium-light skin tone white hair,人中淺膚色白頭髮
🙋,:person_raising_hand:,person raising hand,舉手的人
🙋🏻,:person_raising_hand_light_skin_tone:,person raising hand light skin tone,舉手的人淺膚色
🙋🏼,:person_raising_hand_medium-light_skin_tone:,person raising hand medium-light skin tone,舉手的人中淺膚色
🏃,:person_running:,person running,跑步的人
🏃🏻,:person_running_light_skin_tone:,person running light skin tone,跑步的人淺膚色
🤷,:person_shrugging:,person shrugging,聳肩的人
🤷🏻,:person_shrugging_light_skin_tone:,person shrugging light skin tone,聳肩的人淺膚色
🏄,:person_surfing:,person surfing,衝浪的人
🏊,:person_swimming:,person swimming,游泳的人
🛀,:person_taking_bath:,person taking bath,洗澡的人
🛀🏾,:person_taking_bath_medium-dark_skin_tone:,person taking bath medium-dark skin tone,正在洗澡的人-中深膚色
💁,:person_tipping_hand:,person tipping hand,人傾斜的手
🚶🏻,:person_walking_light_skin_tone:,person walking light skin tone,走路的人淺膚色
👰🏻,:person_with_veil_light_skin_tone:,person with veil light skin tone,面紗淺膚色的人
🐖,:pig:,pig,豬
🐷,:pig_face:,pig face,豬臉
🐽,:pig_nose:,pig nose,豬鼻子
💩,:pile_of_poo:,pile of poo,一堆便便
💊,:pill:,pill,丸
🤏,:pinching_hand:,pinching hand,捏手
🤏🏻,:pinching_hand_light_skin_tone:,pinching hand light skin tone,捏手淺膚色
🍍,:pineapple:,pineapple,菠蘿
🏓,:ping_pong:,ping pong,乒乓
🏴‍☠️,:pirate_flag:,pirate flag,海盜旗
🍕,:pizza:,pizza,比薩
🪧,:placard:,placard,標語牌
▶️,:play_button:,play button,播放按鈕
🥺,:pleading_face:,pleading face,懇求的臉
➕,:plus:,plus,加
🐻‍❄️,:polar_bear:,polar bear,北極熊
🚨,:police_car_light:,police car light,警車燈
👮,:police_officer:,police officer,警官
🐩,:poodle:,poodle,貴賓犬
🎱,:pool_8_ball:,pool 8 ball,池 8 球
🍿,:popcorn:,popcorn,爆米花
📮,:postbox:,postbox,郵箱
🍲,:pot_of_food:,pot of food,一鍋食物
🥔,:potato:,potato,土豆
🪴,:potted_plant:,potted plant,盆栽
🍗,:poultry_leg:,poultry leg,家禽腿
😾,:pouting_cat:,pouting cat,噘嘴的貓
🤰,:pregnant_woman:,pregnant woman,懷孕的女人
🤰🏻,:pregnant_woman_light_skin_tone:,pregnant woman light skin tone,孕婦淺膚色
🤴,:prince:,prince,王子
🤴🏻,:prince_light_skin_tone:,prince light skin tone,王子淺膚色
👸,:princess:,princess,公主
👸🏻,:princess_light_skin_tone:,princess light skin tone,公主淺膚色
👸🏼,:princess_medium-light_skin_tone:,princess medium-light skin tone,公主中淺膚色
🚫,:prohibited:,prohibited,禁止的
🟣,:purple_circle:,purple circle,紫色圓圈
💜,:purple_heart:,purple heart,紫心
👛,:purse:,purse,錢包
📌,:pushpin:,pushpin,圖釘
🧩,:puzzle_piece:,puzzle piece,一塊拼圖
🐇,:rabbit:,rabbit,兔子
🐰,:rabbit_face:,rabbit face,兔臉
🏎️,:racing_car:,racing car,賽車
🔘,:radio_button:,radio button,單選按鈕
🚃,:railway_car:,railway car,火車車廂
🌈,:rainbow:,rainbow,彩虹
✊,:raised_fist:,raised fist,舉起拳頭
✊🏻,:raised_fist_light_skin_tone:,raised fist light skin tone,舉起拳頭淺膚色
✋,:raised_hand:,raised hand,舉手
✋🏻,:raised_hand_light_skin_tone:,raised hand light skin tone,舉手淺膚色
🙌,:raising_hands:,raising hands,舉手
🙌🏿,:raising_hands_dark_skin_tone:,raising hands dark skin tone,舉手 深色膚色
🙌🏻,:raising_hands_light_skin_tone:,raising hands light skin tone,舉手 淺膚色
🙌🏾,:raising_hands_medium-dark_skin_tone:,raising hands medium-dark skin tone,舉手-中等-深膚色
🙌🏼,:raising_hands_medium-light_skin_tone:,raising hands medium-light skin tone,舉手 中淺膚色
🐏,:ram:,ram,內存
🧾,:receipt:,receipt,收據
♻️,:recycling_symbol:,recycling symbol,回收符號
🍎,:red_apple:,red apple,紅蘋果
🔴,:red_circle:,red circle,紅圈
🧧,:red_envelope:,red envelope,紅信封
❗,:red_exclamation_mark:,red exclamation mark,紅色感嘆號
❤️,:red_heart:,red heart,紅心
❤,:red_heart:,red heart,紅心
🏮,:red_paper_lantern:,red paper lantern,紅紙燈籠
❓,:red_question_mark:,red question mark,紅色問號
🔻,:red_triangle_pointed_down:,red triangle pointed down,紅色三角形朝下
🔺,:red_triangle_pointed_up:,red triangle pointed up,紅色三角形朝上
®️,:registered:,registered,掛號的
®,:registered:,registered,掛號的
😌,:relieved_face:,relieved face,鬆了一口氣的臉
🎗,:reminder_ribbon:,reminder ribbon,提醒絲帶
⛑️,:rescue_worker’s_helmet:,rescue worker’s helmet,救援人員頭盔
💞,:revolving_hearts:,revolving hearts,旋轉的心
🎀,:ribbon:,ribbon,絲帶
🍙,:rice_ball:,rice ball,飯糰
🍘,:rice_cracker:,rice cracker,米餅
🤜🏻,:right-facing_fist_light_skin_tone:,right-facing fist light skin tone,朝右的拳頭淺膚色
🤜🏼,:right-facing_fist_medium-light_skin_tone:,right-facing fist medium-light skin tone,右手握拳中淺膚色
➡️,:right_arrow:,right arrow,右箭頭
⤴️,:right_arrow_curving_up:,right arrow curving up,向上彎曲的右箭頭
💍,:ring:,ring,戒指
🪐,:ringed_planet:,ringed planet,環形行星
🍠,:roasted_sweet_potato:,roasted sweet potato,烤地瓜
🤖,:robot:,robot,機器人
🪨,:rock:,rock,岩石
🚀,:rocket:,rocket,火箭
🧻,:roll_of_paper:,roll of paper,一捲紙
🎢,:roller_coaster:,roller coaster,過山車
🛼,:roller_skate:,roller skate,旱冰鞋
🤣,:rolling_on_the_floor_laughing:,rolling on the floor laughing,笑得在地上打滾
🐓,:rooster:,rooster,公雞
🌹,:rose:,rose,玫瑰
🏵,:rosette:,rosette,花環
📍,:round_pushpin:,round pushpin,圓形圖釘
🎽,:running_shirt:,running shirt,跑步衫
👟,:running_shoe:,running shoe,跑鞋
😥,:sad_but_relieved_face:,sad but relieved face,悲傷但如釋重負的臉
⛵,:sailboat:,sailboat,帆船
🍶,:sake:,sake,清酒
🧂,:salt:,salt,鹽
🫡,:saluting_face:,saluting face,敬禮的臉
🥪,:sandwich:,sandwich,三明治
🦕,:sauropod:,sauropod,蜥腳類動物
🏫,:school:,school,學校
✂️,:scissors:,scissors,剪刀
🦂,:scorpion:,scorpion,蠍
🦭,:seal:,seal,海豹
🙈,:see-no-evil_monkey:,see-no-evil monkey,無惡不作的猴子
🌱,:seedling:,seedling,幼苗
🤳,:selfie:,selfie,自拍
🤳🏿,:selfie_dark_skin_tone:,selfie dark skin tone,自拍深色膚色
🪡,:sewing_needle:,sewing needle,縫紉針
☘,:shamrock:,shamrock,三葉草
🦈,:shark:,shark,鯊魚
🌾,:sheaf_of_rice:,sheaf of rice,一捆米
⛩,:shinto_shrine:,shinto shrine,神社
🚢,:ship:,ship,船
🛍,:shopping_bags:,shopping bags,購物袋
🛒,:shopping_cart:,shopping cart,購物車
🍰,:shortcake:,shortcake,脆餅
🩳,:shorts:,shorts,短褲
🚿,:shower:,shower,淋浴
🦐,:shrimp:,shrimp,蝦
🤫,:shushing_face:,shushing face,噓臉
🤘,:sign_of_the_horns:,sign of the horns,角的標誌
🤘🏻,:sign_of_the_horns_light_skin_tone:,sign of the horns light skin tone,牛角標誌淺膚色
🛹,:skateboard:,skateboard,滑板
💀,:skull:,skull,顱骨
☠️,:skull_and_crossbones:,skull and crossbones,骷髏和交叉骨
🦨,:skunk:,skunk,臭鼬
😴,:sleeping_face:,sleeping face,睡臉
😪,:sleepy_face:,sleepy face,困倦的臉
🙁,:slightly_frowning_face:,slightly frowning face,微微皺眉的臉
🙂,:slightly_smiling_face:,slightly smiling face,微微笑的臉
🦥,:sloth:,sloth,樹懶
🔹,:small_blue_diamond:,small blue diamond,小藍鑽
🔸,:small_orange_diamond:,small orange diamond,小橙色鑽石
😻,:smiling_cat_with_heart-eyes:,smiling cat with heart-eyes,帶著心形眼睛的微笑貓
☺️,:smiling_face:,smiling face,微笑的面孔
☺,:smiling_face:,smiling face,微笑的面孔
😇,:smiling_face_with_halo:,smiling face with halo,帶光環的笑臉
😍,:smiling_face_with_heart-eyes:,smiling face with heart-eyes,心眼笑臉
🥰,:smiling_face_with_hearts:,smiling face with hearts,笑臉與心
😈,:smiling_face_with_horns:,smiling face with horns,帶角的笑臉
🤗,:smiling_face_with_open_hands:,smiling face with open hands,張開雙手的笑臉
😊,:smiling_face_with_smiling_eyes:,smiling face with smiling eyes,微笑的臉和微笑的眼睛
😎,:smiling_face_with_sunglasses:,smiling face with sunglasses,帶著墨鏡的笑臉
🥲,:smiling_face_with_tear:,smiling face with tear,含淚的笑臉
😏,:smirking_face:,smirking face,傻笑的臉
🐌,:snail:,snail,蝸牛
🐍,:snake:,snake,蛇
🤧,:sneezing_face:,sneezing face,打噴嚏的臉
🏔,:snow-capped_mountain:,snow-capped mountain,雪山
🏂,:snowboarder:,snowboarder,單板滑雪者
❄️,:snowflake:,snowflake,雪花
❄,:snowflake:,snowflake,雪花
☃️,:snowman:,snowman,雪人
☃,:snowman:,snowman,雪人
⛄,:snowman_without_snow:,snowman without snow,沒有雪的雪人
🧼,:soap:,soap,肥皂
⚽,:soccer_ball:,soccer ball,足球
🧦,:socks:,socks,襪子
🍦,:soft_ice_cream:,soft ice cream,軟冰淇淋
♠,:spade_suit:,spade suit,黑桃花色
🎇,:sparkler:,sparkler,煙火
✨,:sparkles:,sparkles,閃閃發光
💖,:sparkling_heart:,sparkling heart,閃閃發光的心
🙊,:speak-no-evil_monkey:,speak-no-evil monkey,不說壞話的猴子
🔊,:speaker_high_volume:,speaker high volume,揚聲器高音量
🗣️,:speaking_head:,speaking head,說話的頭
🗣,:speaking_head:,speaking head,說話的頭
💬,:speech_balloon:,speech balloon,語音氣球
🕷,:spider:,spider,蜘蛛
🗓,:spiral_calendar:,spiral calendar,螺旋日曆
🗒️,:spiral_notepad:,spiral notepad,螺旋記事本
🐚,:spiral_shell:,spiral shell,螺
🥄,:spoon:,spoon,勺子
🏅,:sports_medal:,sports medal,運動獎牌
🐳,:spouting_whale:,spouting whale,噴水的鯨魚
🦑,:squid:,squid,烏賊
😝,:squinting_face_with_tongue:,squinting face with tongue,用舌頭瞇著臉
⭐,:star:,star,星星
🤩,:star-struck:,star-struck,追星
☪,:star_and_crescent:,star and crescent,星星和新月
🍜,:steaming_bowl:,steaming bowl,蒸碗
🩺,:stethoscope:,stethoscope,聽診器
🛑,:stop_sign:,stop sign,停止標誌
⏱,:stopwatch:,stopwatch,跑表
📏,:straight_ruler:,straight ruler,直尺
🍓,:strawberry:,strawberry,草莓
🎙️,:studio_microphone:,studio microphone,工作室話筒
🥙,:stuffed_flatbread:,stuffed flatbread,釀大餅
☀️,:sun:,sun,太陽
☀,:sun:,sun,太陽
⛅,:sun_behind_cloud:,sun behind cloud,雲後的太陽
🌥️,:sun_behind_large_cloud:,sun behind large cloud,在大雲彩後的太陽
🌥,:sun_behind_large_cloud:,sun behind large cloud,在大雲彩後的太陽
🌦️,:sun_behind_rain_cloud:,sun behind rain cloud,雨雲後面的太陽
🌤,:sun_behind_small_cloud:,sun behind small cloud,小雲後面的太陽
🌞,:sun_with_face:,sun with face,太陽與臉
🌻,:sunflower:,sunflower,向日葵
🕶️,:sunglasses:,sunglasses,太陽鏡
🕶,:sunglasses:,sunglasses,太陽鏡
🌅,:sunrise:,sunrise,日出
🌄,:sunrise_over_mountains:,sunrise over mountains,山上的日出
🌇,:sunset:,sunset,日落
🍣,:sushi:,sushi,壽司
🦢,:swan:,swan,天鵝
💦,:sweat_droplets:,sweat droplets,汗滴
💉,:syringe:,syringe,注射器
👕,:t-shirt:,t-shirt,T卹
🌮,:taco:,taco,炸玉米餅
🎋,:tanabata_tree:,tanabata tree,七夕樹
🍊,:tangerine:,tangerine,柑橘
🍵,:teacup_without_handle:,teacup without handle,沒有把手的茶杯
🫖,:teapot:,teapot,茶壺
📆,:tear-off_calendar:,tear-off calendar,撕下日曆
🧑‍💻,:technologist:,technologist,技師
🧸,:teddy_bear:,teddy bear,玩具熊
☎️,:telephone:,telephone,電話
📞,:telephone_receiver:,telephone receiver,聽筒
🔭,:telescope:,telescope,望遠鏡
📺,:television:,television,電視
🎾,:tennis:,tennis,網球
⛺,:tent:,tent,帳篷
🤔,:thinking_face:,thinking face,思考的臉
🩴,:thong_sandal:,thong sandal,夾趾涼鞋
💭,:thought_balloon:,thought balloon,思想氣球
🕒,:three_o’clock:,three o’clock,三點整
👎,:thumbs_down:,thumbs down,不看好
👍,:thumbs_up:,thumbs up,豎起大拇指
